gene_symbol,logFC,adj_pvalue
RDH11,-1.1873774429335597,8.356151998824088e-09
PRNP,-1.3446647695830851,8.417996859946845e-09
TMEM184B,-1.1154622892099582,8.539434864795133e-09
FKBP1A,-1.1645314980368298,8.85113066073307e-09
CAV2,1.5497068498882154,8.970895817620745e-09
C1orf183,1.1986393211205248,9.33118301429362e-09
TNFRSF14,1.6201039323814008,9.457027901110555e-09
MAP2K1IP1,1.1430851543719704,9.731599900463936e-09
RAN,-1.220336844791504,9.826950812017603e-09
CHST4,-1.1959466135729118,1.0000631663910212e-08
FKBP1A,-1.155896922803592,1.0113372616389087e-08
LSM3,1.2183687360470508,1.0225305175592097e-08
SLC25A15,1.254784089192988,1.0408803866738207e-08
CCDC90B,1.0888691905500565,1.0620917342411538e-08
GPX8,-1.0708620316203419,1.1238075247533163e-08
KIAA1324,-1.161952049627759,1.1689431940433348e-08
TP53INP1,1.9213254223629743,1.2082869460378101e-08
KRT80,-1.2253841734399593,1.2135189614679635e-08
CTGF,1.1867416149697778,1.271822396368172e-08
PSAT1,-1.0299754706113227,1.289750823978336e-08
PAK1,-1.2788803548878729,1.3593584472372595e-08
ZFP36L2,1.2126109443299313,1.3597572970596983e-08
CDKN1A,1.1304094399924152,1.3730029070541007e-08
PPPDE1,-1.0965688300929326,1.3806507674234334e-08
GAMT,1.5309882062197318,1.419748622631958e-08
DCBLD2,-1.3276817503969216,1.4692964943854636e-08
DGKA,1.7016888290813128,1.481292646174249e-08
ATP6V1A,-1.2901705399211068,1.5801028847105133e-08
YPEL5,-1.1777443453581817,1.5888688185030593e-08
RAB21,-1.0370524070552856,1.6512681685064976e-08
SDHC,-1.1540986451169628,1.6632589593390694e-08
SRXN1,-1.0135556646946124,1.673581735006658e-08
RGMA,1.6605577420289457,1.754070965808263e-08
FEZ1,1.6172935977375245,1.7968282533306138e-08
UBE3C,-1.1449400409975574,1.8108165132952868e-08
PPP2R2C,-1.0583362634129987,1.8330152691348197e-08
ACLY,-1.1879748270005805,1.8851668499954843e-08
LYRM1,1.0902847028552767,1.9556769109667202e-08
ARC,1.0150554290757547,1.9647039902725456e-08
KIAA0101,-1.0814557541917722,1.9720798060846903e-08
ANKRD13A,-1.0666099034214698,2.0163084412715993e-08
HRAS,1.0495848679573285,2.0892830437310282e-08
DDIT3,1.412032351090108,2.1227793812642152e-08
FAM3C,1.0476604702283288,2.2657468735080377e-08
OTUB1,-1.0145087544733675,2.2733411475099375e-08
B3GALTL,-1.0050729026553364,2.3041868816695648e-08
CTGF,1.3387267474944728,2.3679186738012474e-08
NACC2,1.1825628942147262,2.3949430905628665e-08
NRP1,1.19311965582129,2.3951603157827342e-08
PTPN11,-1.4597771628542926,2.449497312311965e-08
BCL7B,-1.0806384158047253,2.505861924862575e-08
PPP1CB,-1.0168897360839946,2.581101679309788e-08
GLA,-0.9833067173608754,2.653447432887929e-08
ARG2,-0.9760471385130343,2.668049299146068e-08
UNKL,-1.1791569101757364,2.6856354992993168e-08
NAP1L1,-1.142927016801412,2.774960262699225e-08
COPS7A,-1.0727582734538128,2.7789232154670525e-08
RNF26,-1.0431081956417474,2.7996836646897594e-08
RAB11FIP5,-1.000431839011446,2.8330634177829846e-08
